H,Runs_renamed_renamed_renamed,HsHD,Ave_renamed_renamed_renamed,BF_renamed_renamed_renamed,SR_renamed_renamed_renamed,100_renamed_renamed_renamed,50_renamed_renamed_renamed,0_renamed_renamed_renamed,4s_renamed_renamed_renamed,6s_renamed_renamed_renamed
J Vandersay,15,8,15.0,17,88.23,0,0,0,2,0
V Singh,15,15,15.0,13,115.38,0,0,0,1,0
A Hasan,14,9,7.0,11,127.27,0,0,0,2,0
C Akachukwu,14,8,7.0,15,93.33,0,0,0,0,1
A Islam,14,9,14.0,14,100.0,0,0,0,2,0
A Iqbal,14,14,14.0,6,233.33,0,0,0,0,1
G Dutta,14,8,2.33,28,50.0,0,0,3,1,0
I Zadran,14,11,4.66,26,53.84,0,0,0,0,1
P Patel,14,8,14.0,11,127.27,0,0,0,0,0
T Langa,14,14,14.0,9,155.55,0,0,0,2,0
J Moses,14,9,4.66,20,70.0,0,0,0,0,1
N Nankov,14,14,14.0,20,70.0,0,0,0,1,0
S Pillai,14,6,4.66,27,51.85,0,0,0,1,0
C Prasad,14,11,7.0,29,48.27,0,0,1,1,0
R Hasan,14,5,4.66,17,82.35,0,0,1,1,0
R Singh,14,8,7.0,13,107.69,0,0,0,0,1
S Muhammad,14,14,14.0,7,200.0,0,0,0,1,1
S Varathappan,14,9,4.66,14,100.0,0,0,1,3,0
T Whiteman,14,14,14.0,10,140.0,0,0,1,0,1
A Sheikh,13,11,6.5,18,72.22,0,0,0,1,0
M Cope,13,13,13.0,15,86.66,0,0,0,2,0
L Ali,13,7,6.5,18,72.22,0,0,0,1,0
J Mees,13,7,13.0,20,65.0,0,0,0,1,0
M (3),13,7,6.5,20,65.0,0,0,0,1,0
M Hamayun,13,8,6.5,10,130.0,0,0,0,1,1
H Overdijk,13,13,13.0,7,185.71,0,0,0,2,0
J Richardson,13,7,13.0,6,216.66,0,0,1,2,0
O Tonuu,13,6,6.5,18,72.22,0,0,0,0,0
W Abbas,13,9,13.0,7,185.71,0,0,0,0,1
A Ahmed,12,11,4.0,32,37.5,0,0,1,1,0
A Mohammad,12,5,4.0,12,100.0,0,0,0,2,0
F Niazai,12,12,12.0,15,80.0,0,0,0,1,0
C Gannon,12,7,12.0,9,133.33,0,0,0,0,1
R Gaznavi,12,8,6.0,12,100.0,0,0,0,2,0
H Helva,12,7,3.0,25,48.0,0,0,2,2,0
D Mejia,12,12,12.0,10,120.0,0,0,0,2,0
A Patel,12,6,12.0,23,52.17,0,0,0,2,0
M Patel,12,8,4.0,15,80.0,0,0,1,1,1
R Kapur,12,6,6.0,16,75.0,0,0,0,1,0
M Starc,12,4,3.0,18,66.66,0,0,0,0,0
A Ivan,11,11,11.0,39,28.2,0,0,0,0,0
A Mustafizur,11,11,5.5,28,39.28,0,0,1,2,0
A Kamal,11,11,3.66,18,61.11,0,0,2,1,0
A Bulow,11,11,11.0,13,84.61,0,0,0,0,1
J Campbell,11,11,5.5,16,68.75,0,0,1,2,0
A Djorovic,11,9,5.5,26,42.3,0,0,0,1,0
S Goustis,11,11,11.0,19,57.89,0,0,0,0,0
O McCoy,11,10,11.0,10,110.0,0,0,0,1,1
M Hasan,11,11,11.0,11,100.0,0,0,0,1,0
W Malinda,11,10,11.0,9,122.22,0,0,0,0,1
B McCarthy,11,11,5.5,7,157.14,0,0,2,0,1
J Reb,11,9,5.5,14,78.57,0,0,0,1,0
S Arshad,11,11,11.0,10,110.0,0,0,0,0,1
S Kumar,11,10,11.0,15,73.33,0,0,0,0,0
P Taylor,11,7,11.0,9,122.22,0,0,0,1,0
H Thaker,11,11,11.0,9,122.22,0,0,0,0,1
T Veillard,11,8,11.0,17,64.7,0,0,0,0,0
A (2),10,10,10.0,13,76.92,0,0,0,1,0
R Avery,10,9,3.33,24,41.66,0,0,1,0,0
N Pradeep,10,8,10.0,15,66.66,0,0,1,1,0
S Hallett,10,5,2.5,16,62.5,0,0,1,1,0
M Henry,10,10,10.0,5,200.0,0,0,0,2,0
G Kaltongga,10,10,5.0,12,83.33,0,0,1,1,0
Z Matsinhe,10,6,3.33,17,58.82,0,0,1,0,1
M Ghazanfar,10,6,10.0,10,100.0,0,0,0,1,0
S Nerandzic,10,5,5.0,33,30.3,0,0,0,1,0
S Perera,10,7,5.0,23,43.47,0,0,0,0,0
S Rance,10,8,3.33,21,47.61,0,0,0,0,0
A Rangaswamy,10,7,3.33,13,76.92,0,0,1,0,1
D Ravu,10,6,3.33,9,111.11,0,0,1,1,0
G Reynold,10,6,10.0,10,100.0,0,0,0,0,1
Z Khan,10,6,3.33,19,52.63,0,0,0,1,0
Z Hasan,10,10,10.0,9,111.11,0,0,0,1,0
A Rashid,9,9,9.0,24,37.5,0,0,0,0,0
A Mollik,9,9,9.0,10,90.0,0,0,0,1,0
P Arora,9,6,9.0,4,225.0,0,0,0,0,1
H Banner,9,6,9.0,10,90.0,0,0,0,0,1
B Duckett,9,9,9.0,7,128.57,0,0,0,1,0
H Hiri,9,4,2.25,15,60.0,0,0,0,0,0
I Hussain,9,4,4.5,10,90.0,0,0,1,1,0
N Janes,9,9,4.5,11,81.81,0,0,1,1,0
K Kaleemullah,9,9,4.5,7,128.57,0,0,1,0,1
J Kundi,9,6,2.25,22,40.9,0,0,1,1,0
M Asjed,9,9,9.0,9,100.0,0,0,0,1,0
M Wafiq,9,6,4.5,12,75.0,0,0,1,1,0
V Poubel,9,5,9.0,15,60.0,0,0,0,0,0
A Poulose,9,9,3.0,14,64.28,0,0,2,2,0
K Richardson,9,9,4.5,8,112.5,0,0,1,0,0
S Hasan,9,8,4.5,7,128.57,0,0,0,1,0
M Sarwar,9,8,4.5,9,100.0,0,0,1,0,1
B Stanlake,9,7,9.0,12,75.0,0,0,0,0,1
U Ali,9,7,9.0,14,64.28,0,0,0,1,0
T jnr,9,9,4.5,17,52.94,0,0,1,2,0
S Ahmed,9,8,4.5,20,45.0,0,0,1,0,0
A Saad,8,8,4.0,8,100.0,0,0,1,1,0
S Appu,8,6,2.66,14,57.14,0,0,0,0,0
B Banerjee,8,6,4.0,18,44.44,0,0,2,0,0
J Bumrah,8,7,4.0,13,61.53,0,0,1,1,0
H Dandapani,8,5,8.0,15,53.33,0,0,0,0,0
J Freyone,8,4,2.0,29,27.58,0,0,2,0,0
H Dar,8,8,8.0,6,133.33,0,0,0,1,0
N Khanna,8,6,4.0,12,66.66,0,0,0,1,0
K Shah,8,8,8.0,11,72.72,0,0,0,0,0
K Singh,8,6,2.66,16,50.0,0,0,0,0,0
N Liyanage,8,8,4.0,8,100.0,0,0,1,1,0
M Mooketsi,8,3,1.6,24,33.33,0,0,1,0,0
W Peatfield,8,7,8.0,12,66.66,0,0,0,1,0
C Rajitha,8,5,4.0,23,34.78,0,0,1,0,0
S Singh,8,8,8.0,9,88.88,0,0,0,0,0
O Thomas,8,8,4.0,11,72.72,0,0,2,2,0
R Vishwanath,8,5,4.0,10,80.0,0,0,0,1,0
Y Idrees,8,8,8.0,4,200.0,0,0,0,0,1
A Hossain,7,5,3.5,12,58.33,0,0,1,1,0
A Mohammad,7,7,7.0,8,87.5,0,0,0,1,0
P Boissevain,7,7,7.0,7,100.0,0,0,1,1,0
P Chase,7,4,7.0,13,53.84,0,0,0,1,0
D Ahir,7,7,7.0,10,70.0,0,0,0,1,0
P Danci,7,5,7.0,11,63.63,0,0,0,1,0
D Delany,7,7,3.5,6,116.66,0,0,1,0,0
K Malla,7,5,3.5,15,46.66,0,0,0,1,0
R Lakmal,7,5,2.33,11,63.63,0,0,2,1,0
S Mahmood,7,4,7.0,7,100.0,0,0,0,1,0
N Naveen-ul-Haq,7,5,7.0,7,100.0,0,0,0,1,0
Q Ahmed,7,5,7.0,12,58.33,0,0,1,1,0
L Rodrigues,7,4,7.0,12,58.33,0,0,1,1,0
S Khan,7,7,7.0,6,116.66,0,0,0,1,0
T Ahmed,7,7,7.0,11,63.63,0,0,1,1,0
U Sunil,6,6,6.0,4,150.0,0,0,0,0,1
T Braat,6,5,3.0,7,85.71,0,0,0,1,0
D Burgess,6,3,1.5,12,50.0,0,0,2,0,0
S Dima,6,3,3.0,8,75.0,0,0,0,0,0
L Evile,6,6,6.0,7,85.71,0,0,0,1,0
R Hekure,6,2,2.0,12,50.0,0,0,0,0,0
J Ahmadi,6,6,3.0,7,85.71,0,0,1,1,0
D Maisuria,6,6,6.0,11,54.54,0,0,1,0,0
I Master,6,4,3.0,8,75.0,0,0,0,1,0
J Mulder,6,5,3.0,11,54.54,0,0,1,0,0
L Ngidi,6,4,6.0,9,66.66,0,0,0,0,0
O Hayat,6,5,3.0,4,150.0,0,0,0,0,0
S Ali,6,6,3.0,10,60.0,0,0,1,0,0
O Smith,6,6,6.0,5,120.0,0,0,0,1,0
H Tyler,6,6,6.0,9,66.66,0,0,0,0,0
C Young,6,2,3.0,11,54.54,0,0,0,0,0
S Abbott,5,5,5.0,8,62.5,0,0,0,1,0
A Rahman,5,3,1.66,8,62.5,0,0,1,0,0
A Ahmed,5,5,5.0,13,38.46,0,0,0,0,0
M Baig,5,5,1.25,12,41.66,0,0,3,1,0
A Bhagwat,5,3,1.25,16,31.25,0,0,1,0,0
A Bohara,5,3,1.66,12,41.66,0,0,2,0,0
T Caruana,5,5,5.0,13,38.46,0,0,0,0,0
H Shahzad,5,5,2.5,9,55.55,0,0,1,1,0
I Ali,5,5,5.0,6,83.33,0,0,1,0,0
J Siddique,5,3,1.66,17,29.41,0,0,1,0,0
I Katzarski,5,3,2.5,12,41.66,0,0,0,0,0
T Kimber,5,2,1.66,13,38.46,0,0,0,0,0
A Krishna,5,4,5.0,3,166.66,0,0,0,1,0
A McCarthy,5,5,5.0,8,62.5,0,0,0,0,0
M Hasnain,5,4,5.0,12,41.66,0,0,0,1,0
A Morris,5,3,2.5,17,29.41,0,0,1,0,0
G Munasinghe,5,4,1.66,13,38.46,0,0,2,1,0
A Nanda,5,5,5.0,5,100.0,0,0,0,1,0
G Ntambalika,5,5,5.0,11,45.45,0,0,0,0,0
P Rasool,5,5,5.0,6,83.33,0,0,0,0,0
N Patel,5,5,5.0,10,50.0,0,0,1,0,0
D Paterson,5,4,5.0,2,250.0,0,0,0,1,0
K Rabada,5,5,2.5,12,41.66,0,0,2,0,0
B Scholtz,5,3,5.0,10,50.0,0,0,1,0,0
M Spry,5,3,5.0,11,45.45,0,0,0,0,0
C Vorster,5,5,5.0,8,62.5,0,0,0,0,0
T Astle,4,3,2.0,10,40.0,0,0,0,0,0
B Singh,4,3,1.33,16,25.0,0,0,1,0,0
S Bhudia,4,3,2.0,16,25.0,0,0,1,0,0
Y Chahal,4,3,4.0,9,44.44,0,0,0,0,0
A Dursak,4,3,1.0,24,16.66,0,0,2,0,0
C Emmott,4,4,2.0,11,36.36,0,0,1,0,0
I Rizan,4,3,2.0,14,28.57,0,0,0,0,0
H Ivanov,4,4,4.0,6,66.66,0,0,0,0,0
M Koc,4,4,4.0,15,26.66,0,0,1,0,0
C Kumara,4,4,4.0,2,200.0,0,0,0,1,0
M Khurram,4,3,1.33,20,20.0,0,0,1,0,0
M Rafique,4,4,4.0,5,80.0,0,0,0,0,0
P Singh,4,2,4.0,7,57.14,0,0,0,0,0
C Suryawanshi,4,4,2.0,6,66.66,0,0,1,0,0
K Suttisan,4,4,2.0,5,80.0,0,0,1,1,0
T Ulutuna,4,4,1.33,9,44.44,0,0,2,1,0
S Vashisht,4,4,4.0,6,66.66,0,0,0,1,0
A Jayed,3,2,1.5,7,42.85,0,0,0,0,0
G Agius,3,3,1.5,15,20.0,0,0,1,0,0
A Hayat,3,3,1.5,6,50.0,0,0,1,0,0
A Mahboob,3,1,0.75,14,21.42,0,0,2,0,0
P Bhart,3,2,3.0,17,17.64,0,0,1,0,0
S Byrne,3,3,1.5,9,33.33,0,0,1,0,0
D Puente,3,2,3.0,7,42.85,0,0,0,0,0
S Silva,3,3,1.5,7,42.85,0,0,1,0,0
F Ali,3,2,1.0,14,21.42,0,0,1,0,0
W Gavera,3,2,1.5,6,50.0,0,0,0,0,0
I Nashath,3,3,3.0,5,60.0,0,0,1,0,0
J Maroofkhail,3,3,3.0,8,37.5,0,0,0,0,0
M Data,3,3,3.0,5,60.0,0,0,0,0,0
R Olipa,3,3,3.0,4,75.0,0,0,0,0,0
L Rajbanshi,3,3,3.0,7,42.85,0,0,0,0,0
L Simango,3,2,3.0,4,75.0,0,0,0,0,0
R Ulutuna,3,1,0.75,16,18.75,0,0,1,0,0
S Waththage,3,3,3.0,5,60.0,0,0,0,0,0
A Mahmood,2,2,2.0,2,100.0,0,0,0,0,0
N Advani,2,2,2.0,4,50.0,0,0,0,0,0
A Alam,2,1,1.0,9,22.22,0,0,1,0,0
A Quadir,2,2,2.0,12,16.66,0,0,0,0,0
A Hayat,2,2,1.0,7,28.57,0,0,1,0,0
P Buccimazza,2,1,1.0,13,15.38,0,0,0,0,0
H Dajc,2,2,2.0,3,66.66,0,0,1,0,0
M Fernando,2,2,2.0,2,100.0,0,0,0,0,0
C Fry,2,2,2.0,6,33.33,0,0,0,0,0
B Glover,2,1,2.0,8,25.0,0,0,1,0,0
J Hamoud,2,2,2.0,4,50.0,0,0,0,0,0
I Ahmed,2,1,2.0,3,66.66,0,0,0,0,0
S Kansoy,2,2,0.5,7,28.57,0,0,3,0,0
I Lisboa,2,2,2.0,3,66.66,0,0,0,0,0
M Yar,2,2,2.0,6,33.33,0,0,0,0,0
S Nadigotla,2,2,2.0,6,33.33,0,0,0,0,0
W Nalisa,2,1,2.0,4,50.0,0,0,1,0,0
A Ndlovu,2,2,2.0,4,50.0,0,0,0,0,0
N Kamawi,2,2,2.0,7,28.57,0,0,0,0,0
S Saeed,2,2,2.0,4,50.0,0,0,0,0,0
S Ali,2,2,2.0,6,33.33,0,0,0,0,0
S Hossain,2,2,2.0,5,40.0,0,0,0,0,0
S Vijayakumar,2,1,1.0,5,40.0,0,0,0,0,0
W Khan,2,2,2.0,3,66.66,0,0,1,0,0
U Yadav,2,2,2.0,4,50.0,0,0,0,0,0
Z Abbasi,1,1,1.0,5,20.0,0,0,0,0,0
J Allen,1,1,1.0,4,25.0,0,0,1,0,0
H Alta,1,1,0.33,10,10.0,0,0,3,0,0
B Angeltti,1,1,1.0,4,25.0,0,0,0,0,0
A Malik,1,1,0.25,4,25.0,0,0,3,0,0
S Bhari,1,1,1.0,5,20.0,0,0,1,0,0
B Dugic,1,1,1.0,4,25.0,0,0,0,0,0
G Eranga,1,1,1.0,1,100.0,0,0,0,0,0
A Evans,1,1,0.2,10,10.0,0,0,5,0,0
L Ferguson,1,1,1.0,3,33.33,0,0,0,0,0
P Florin,1,1,1.0,1,100.0,0,0,1,0,0
M Garratt,1,1,1.0,5,20.0,0,0,0,0,0
A Gavde,1,1,1.0,6,16.66,0,0,0,0,0
G Hyde,1,1,1.0,6,16.66,0,0,0,0,0
B Khumalo,1,1,1.0,3,33.33,0,0,0,0,0
V Kingma,1,1,1.0,5,20.0,0,0,0,0,0
B Muzarabani,1,1,1.0,5,20.0,0,0,1,0,0
R Neale,1,1,0.5,6,16.66,0,0,1,0,0
E Ringera,1,1,1.0,3,33.33,0,0,0,0,0
O Arthur,1,1,1.0,1,100.0,0,0,0,0,0
M Sarenac,1,1,1.0,2,50.0,0,0,0,0,0
S Shirzad,1,1,1.0,2,50.0,0,0,0,0,0
K Silva,1,1,0.5,6,16.66,0,0,1,0,0
A Stephen,1,1,1.0,2,50.0,0,0,0,0,0
T Turan,1,1,0.25,17,5.88,0,0,3,0,0
W Ali,1,1,1.0,4,25.0,0,0,0,0,0
Z Hassan,1,1,1.0,2,50.0,0,0,0,0,0
Z Abbas,1,1,1.0,4,25.0,0,0,0,0,0
A Shakoor,0,0,0.0,3,0.0,0,0,1,0,0
C Akyuz,0,0,0.0,3,0.0,0,0,2,0,0
M Aponso,0,0,0.0,2,0.0,0,0,1,0,0
S Arachchige,0,0,0.0,2,0.0,0,0,1,0,0
A Said,0,0,0.0,1,0.0,0,0,1,0,0
S Atai,0,0,0.0,1,0.0,0,0,1,0,0
M Bhanuka,0,0,0.0,1,0.0,0,0,1,0,0
I Civric,0,0,0.0,1,0.0,0,0,1,0,0
S Dalton,0,0,0.0,1,0.0,0,0,1,0,0
E Nawaz,0,0,0.0,2,0.0,0,0,1,0,0
M Faheem,0,0,0.0,2,0.0,0,0,1,0,0
G Galanis,0,0,0.0,1,0.0,0,0,1,0,0
G Yusuf,0,0,0.0,1,0.0,0,0,1,0,0
L Gharasim,0,0,0.0,1,0.0,0,0,1,0,0
M Goonetilleke,0,0,0.0,1,0.0,0,0,1,0,0
P Kerai,0,0,0.0,1,0.0,0,0,1,0,0
C Liyanage,0,0,0.0,1,0.0,0,0,1,0,0
O Marshall,0,0,0.0,3,0.0,0,0,1,0,0
M Meade,0,0,0.0,2,0.0,0,0,1,0,0
M Nazir,0,0,0.0,2,0.0,0,0,1,0,0
T Mills,0,0,0.0,2,0.0,0,0,1,0,0
M Shaheen,0,0,0.0,3,0.0,0,0,1,0,0
N Ahmed,0,0,0.0,1,0.0,0,0,1,0,0
L Nussbaumer,0,0,0.0,1,0.0,0,0,1,0,0
A Orfila,0,0,0.0,2,0.0,0,0,1,0,0
T Phaswana,0,0,0.0,3,0.0,0,0,1,0,0
R Rivas,0,0,0.0,1,0.0,0,0,1,0,0
I Sawmy,0,0,0.0,2,0.0,0,0,1,0,0
T Shamsi,0,0,0.0,5,0.0,0,0,1,0,0
B Shikongo,0,0,0.0,1,0.0,0,0,1,0,0
B Simango,0,0,0.0,2,0.0,0,0,1,0,0
M Simmons,0,0,0.0,2,0.0,0,0,1,0,0
M Simpson-Parker,0,0,0.0,2,0.0,0,0,1,0,0
S Singh,0,0,0.0,9,0.0,0,0,1,0,0
L Sipamla,0,0,0.0,1,0.0,0,0,1,0,0
S Soosiyakumar,0,0,0.0,2,0.0,0,0,1,0,0
E Soto,0,0,0.0,2,0.0,0,0,1,0,0
L Sreekumar,0,0,0.0,1,0.0,0,0,1,0,0
Z Rehman,0,0,0.0,4,0.0,0,0,1,0,0
M Agarwal,999,70,29.82,783,127.59,0,7,9,78,48
R Dhawan,899,57,33.95,696,129.17,0,2,6,99,51
B Rajapaksa,1287,55,27.88,1053,122.22,0,5,3,98,39
B Howell,1419,45,36.65,1118,126.92,0,2,6,98,45
P Mankad,1488,66,41.11,1200,124.0,0,5,1,75,40
J Sharma,1080,67,34.03,690,156.52,0,1,9,81,42
R Tripathi,952,48,37.86,784,121.43,0,2,9,90,55
A Sharma,1147,44,24.83,999,114.81,0,4,3,97,50
A Samad,1178,59,33.53,744,158.33,0,4,2,85,49
V Vinod,1332,61,33.09,1044,127.59,0,1,3,85,42
P Garg,1887,68,42.21,1377,137.04,0,2,4,96,42
R Samarth,1089,61,25.6,792,137.5,0,6,2,101,43
S Samson,1440,63,23.83,1120,128.57,0,2,4,103,48
D Padikkal,1376,46,29.0,1204,114.29,0,5,6,93,47
Y Jaiswal,1550,61,25.8,1450,106.9,0,7,9,91,44
R Parag,1435,69,33.44,1189,120.69,0,6,2,77,44
K Nair,1089,59,35.98,858,126.92,0,4,3,88,45
R Dussen,1734,68,29.49,1377,125.93,0,1,6,96,49
D Jurel,1190,52,26.9,918,129.63,0,6,8,83,47
S Garhwal,1085,65,27.95,868,125.0,0,2,5,84,44
D Karthik,1452,69,36.01,1232,117.86,0,2,8,94,55
A Rawat,1015,76,30.71,725,140.0,0,6,3,87,47
M Lomror,1225,44,29.2,805,152.17,0,3,1,77,40
S Prabhudessai,1216,56,33.94,1102,110.34,0,1,3,100,45
L Sisodia,992,60,38.13,806,123.08,0,0,4,92,51
I Kishan,1872,62,36.95,1404,133.33,0,0,5,84,40
S Yadav,1813,71,33.43,1225,148.0,0,7,4,79,47
D Brevis,1820,47,32.19,1352,134.62,0,5,6,75,55
T Varma,1406,60,24.02,925,152.0,0,7,5,76,45
S Yadav,1026,71,32.24,621,165.22,0,4,9,101,46
A Singh,1443,72,34.02,1131,127.59,0,5,9,98,43
A Juyal,1023,42,40.26,891,114.81,0,6,8,91,44
R Buddhi,1312,57,33.05,1025,128.0,0,6,9,74,55
A Rayudu,1312,74,40.18,1148,114.29,0,4,3,87,52
R Gaikwad,1386,44,23.68,1218,113.79,0,5,6,103,51
R Uthappa,1360,70,29.91,1120,121.43,0,7,2,78,44
D Conway,1872,43,38.8,1104,169.57,0,6,0,80,52
N Jagadeesan,999,43,26.29,675,148.0,0,4,4,78,48
S Senapati,1178,52,26.36,744,158.33,0,4,9,75,43
B Varma,1122,47,29.38,952,117.86,0,1,7,91,52
H Nishaanth,1672,60,39.86,1232,135.71,0,3,1,84,53
V Iyer,1584,53,30.7,1012,156.52,0,5,1,77,41
A Rahane,1512,62,23.78,1134,133.33,0,1,0,74,54
S Jackson,1110,74,39.7,840,132.14,0,6,8,97,50
A Tomar,1408,44,29.35,1144,123.08,0,1,5,75,39
B Indrajith,1656,54,33.26,1196,138.46,0,3,7,101,55
P Shaw,1692,68,35.5,1128,150.0,0,0,1,80,39
S Bharat,1287,53,38.8,858,150.0,0,7,0,98,48
Y Dhull,1271,54,39.88,1107,114.81,0,2,5,95,51
A Hebbar,1444,64,30.11,950,152.0,0,1,0,85,50
D Hooda,1344,67,33.09,966,139.13,0,3,6,78,51
K Mayers,1152,55,24.06,928,124.14,0,2,3,91,48
A Badoni,1404,51,39.75,972,144.44,0,2,1,79,46
M Vohra,1326,46,27.47,1053,125.93,0,4,8,76,41
S Gill,1435,46,40.26,984,145.83,0,1,5,79,47
A Manohar,1440,76,24.2,1040,138.46,0,7,2,103,54
M Wade,1122,74,30.36,858,130.77,0,0,2,83,42
W Saha,1023,52,41.21,957,106.9,0,3,8,75,52
S Sudharsan,928,58,41.28,696,133.33,0,3,8,102,49
N Ojha,1190,42,40.54,918,129.63,0,0,4,91,51
B Sharma,1116,45,33.82,1044,106.9,0,1,2,98,44
S Watson,1085,76,36.87,945,114.81,0,0,5,94,39
S Baby,1443,52,30.68,936,154.17,0,2,3,85,48
S Binny,1155,44,42.56,805,143.48,0,4,8,77,50
S Aravind,1512,66,38.44,1176,128.57,0,0,6,86,45
A Choudhary,1221,62,25.54,1073,113.79,0,6,6,81,54
M Tiwary,1470,47,35.14,966,152.17,0,2,3,88,42
R Bhatia,1190,63,25.73,980,121.43,0,0,7,98,53
A Dinda,1558,73,40.65,984,158.33,0,0,0,99,50
B McCullum,961,56,29.93,806,119.23,0,7,0,93,40
M Gony,1404,72,29.65,1044,134.48,0,1,5,89,49
P Kumar,1794,58,34.19,1288,139.29,0,3,3,78,46
S Jakati,1558,67,35.98,1189,131.03,0,4,7,101,47
D Kulkarni,1862,49,35.26,1274,146.15,0,3,0,75,53
S Kaushik,1116,63,25.9,1008,110.71,0,0,3,87,51
G Gambhir,1376,69,27.76,1118,123.08,0,6,5,74,51
Y Pathan,1326,43,25.88,850,156.0,0,1,3,84,55
C Woakes,1938,65,34.93,1326,146.15,0,4,2,103,49
P Chawla,1408,63,34.04,1012,139.13,0,4,6,74,48
M Sharma,1054,76,41.17,884,119.23,0,7,8,97,40
P Negi,1482,72,28.84,1014,146.15,0,1,7,77,46
I Abdulla,2067,58,30.54,1537,134.48,0,2,8,97,40
A Tare,1120,48,29.23,805,139.13,0,7,1,76,52
A Mishra,1120,56,38.87,800,140.0,0,0,6,83,41
I Sharma,924,66,38.58,700,132.0,0,1,0,92,40
B Sran,896,64,41.53,672,133.33,0,3,5,90,45
S Marsh,1344,42,36.43,1092,123.08,0,2,8,96,55
G Singh,1716,46,25.11,1248,137.5,0,1,3,96,52
M Johnson,1122,62,25.4,858,130.77,0,6,2,96,52
A Nath,1443,60,36.7,936,154.17,0,7,8,84,47
S Agarwal,962,64,33.86,702,137.04,0,4,1,87,44
N Singh,1332,75,33.05,925,144.0,0,5,5,87,46
A Soni,1295,60,25.57,925,140.0,0,3,4,78,45
A Bawne,1258,63,27.62,999,125.93,0,7,0,92,52
I Pathan,1254,69,42.22,912,137.5,0,0,5,97,53
S Tiwary,1188,60,30.9,972,122.22,0,0,8,77,51
I Jaggi,1178,55,39.99,988,119.23,0,4,9,90,46
K Khejroliya,1224,73,30.59,936,130.77,0,2,4,101,44
B Laughlin,1406,44,29.92,999,140.74,0,6,4,103,55
M Vijay,1365,48,35.0,936,145.83,0,4,3,74,42
R Bhui,1440,66,28.07,1170,123.08,0,6,1,101,47
D Shorey,1312,47,25.92,1066,123.08,0,7,2,74,52
M Krishna,1333,47,32.15,1204,110.71,0,4,0,95,39
S Goswami,1330,42,36.79,840,158.33,0,7,7,82,39
P Chopra,1488,48,34.12,1104,134.78,0,5,5,99,53
J Scantlebury-Searles,864,51,25.47,756,114.29,0,0,9,85,39
C Ingram,1470,61,24.28,966,152.17,0,1,0,80,53
R Salam,1938,65,23.67,1275,152.0,0,2,0,82,40
G Viljoen,868,51,29.83,672,129.17,0,0,8,78,42
C Varun,1120,56,31.73,768,145.83,0,7,4,85,48
N Naik,1320,69,42.04,960,137.5,0,0,9,86,49
G Vihari,1404,66,33.89,1053,133.33,0,5,2,101,46
P Barman,1292,45,29.34,1064,121.43,0,3,2,93,40
S Midhun,1443,46,38.73,999,144.44,0,1,1,77,54
H Gurney,1152,65,40.84,736,156.52,0,0,2,79,41
S Lad,945,64,40.97,729,129.63,0,5,9,91,53
Y Raj,1408,55,35.91,1188,118.52,0,0,0,96,54
S Warrier,1248,74,33.29,864,144.44,0,2,7,86,48
J Pattinson,1020,64,31.07,750,136.0,0,4,1,91,41
J Philippe,1584,64,25.28,1248,126.92,0,7,3,94,41
C Green,1470,64,36.38,1008,145.83,0,5,1,87,48
M Kumar,1520,72,41.04,1080,140.74,0,7,6,97,44
R Patidar,1044,62,30.28,812,128.57,0,4,1,80,45
K Jamieson,1364,66,24.71,1188,114.81,0,1,7,98,55
J Saxena,1550,66,31.1,1350,114.81,0,7,1,98,44
L Meriwala,1209,52,25.78,744,162.5,0,7,4,88,46
K Bharat,1683,53,29.42,1275,132.0,0,4,9,97,46
G Garton,1092,50,33.13,728,150.0,0,5,0,82,43
B Sudharsan,1224,43,37.69,828,147.83,0,3,2,85,53
H Rana,1080,65,36.12,780,138.46,0,7,3,88,39
K Kartikeya,1295,64,27.49,1073,120.69,0,1,4,98,51
T Stubbs,1216,70,29.4,736,165.22,0,1,4,88,53
M Pathirana,1295,56,31.39,999,129.63,0,4,4,82,42
R Yadav,1462,74,33.94,1118,130.77,0,2,3,90,50
N Ojha,1596,70,39.34,1050,152.0,0,2,6,85,40
B Sharma,1520,68,31.2,1000,152.0,0,2,3,97,50
S Watson,1785,49,37.78,1479,120.69,0,1,8,76,39
S Baby,1248,66,33.36,1053,118.52,0,6,1,77,50
S Binny,1833,42,40.76,1128,162.5,0,6,0,82,53
S Aravind,1716,61,42.58,1276,134.48,0,2,5,78,47
A Choudhary,1632,53,24.78,1392,117.24,0,2,3,84,48
M Tiwary,1404,57,29.41,900,156.0,0,4,8,81,47
R Bhatia,930,65,30.34,870,106.9,0,1,0,99,46
A Dinda,1292,73,24.22,912,141.67,0,1,1,78,45
B McCullum,992,50,27.02,800,124.0,0,2,0,86,46
M Gony,837,50,31.12,756,110.71,0,7,0,103,43
P Kumar,1088,63,40.55,884,123.08,0,7,5,101,45
S Jakati,928,62,40.13,696,133.33,0,5,3,92,41
D Kulkarni,1716,68,34.63,1232,139.29,0,2,8,80,39
S Kaushik,1147,55,37.77,837,137.04,0,4,8,97,48
G Gambhir,1638,67,25.56,1134,144.44,0,0,7,77,45
Y Pathan,1612,60,39.42,1508,106.9,0,0,9,89,43
C Woakes,1911,50,32.91,1323,144.44,0,5,0,75,50
P Chawla,1170,57,37.67,840,139.29,0,3,9,95,54
M Sharma,1024,72,41.03,800,128.0,0,0,7,74,48
