PLAYER,MAT,100
P Silva,8.0,
K Jarvis,22.0,
M Ahsan,5.0,
O Newey,7.0,
R Satheesan,4.0,
J Chilia,14.0,
M Dixit,3.0,
J Dunford,17.0,
M Mandy,4.0,
S Priyanjan,3.0,
B King,6.0,
M Watt,35.0,
T Bharaj,9.0,
G Caisley,4.0,
S Cotter,4.0,
A Manousis,3.0,
D Nakrani,4.0,
O Yousof,3.0,
V Mbazo,4.0,
A Rashid,40.0,
M Huda,5.0,
M Richardson,3.0,
A Mauroof,10.0,
G Chaturvedi,2.0,
A Dananjaya,22.0,
J Frylinck,14.0,
J Siddiqui,13.0,
H Kuhn,7.0,
N Kumar,3.0,
S Zakhil,3.0,
D Smith,4.0,
S Jamil,3.0,
M Nadeem,5.0,
M Patel,3.0,
Q Khan,4.0,
Y Seneveratne,6.0,
J Singye,2.0,
C Zhuwao,7.0,
M Aboagye,3.0,
V Adewoye,7.0,
D Khan,9.0,
D Weston,6.0,
S Ahmad,5.0,
K Gupta,4.0,
Z Hoque,3.0,
R Trott,15.0,
A Khan,4.0,
S Ateak,3.0,
R Bakum,4.0,
M Hunter,4.0,
N Maddinson,6.0,
M Latif,3.0,
T Munyonga,5.0,
N Rahman,7.0,
V Tembo,6.0,
Y Haroon,4.0,
Z Sarwar,4.0,
A Bilal,3.0,
A Ayannaike,3.0,
A Banner,3.0,
L Emilio,5.0,
G Gomes,7.0,
I Ullah,4.0,
S Badree,52.0,
P Baron,5.0,
P Mishra,3.0,
M Rahman,37.0,
S Zafar,11.0,
M Patel,2.0,
F Baaleri,4.0,
M Mahfooz,11.0,
M Ganee,5.0,
L Plunkett,22.0,
M Sert,4.0,
D Stovell,6.0,
J Vifah,3.0,
K Young,3.0,
A Rahimzei,7.0,
A Hafizs,3.0,
A Ashokan,2.0,
K Joshi,4.0,
B Mavuta,3.0,
D Muhumuza,4.0,
M Ekrami,3.0,
A Hamza,31.0,
T Chisoro,12.0,
B Cutting,7.0,
F Sham,15.0,
I Bulbulia,3.0,
L Musiani,5.0,
E Packard,4.0,
S Ravikumar,3.0,
S Farhan,3.0,
F Stoman,4.0,
T Aziz,4.0,
I Khan,4.0,
P Silas,4.0,
S Tobgay,2.0,
P Meekeren,41.0,
A Saiyed,4.0,
D Kansonkho,7.0,
A Kitchen,5.0,
B Mailata,4.0,
M Amin,4.0,
H Pragji,4.0,
V Chandra,3.0,
I Danladi,3.0,
C Delany,4.0,
J Hirschi,4.0,
A Ifill,6.0,
R Kumar,4.0,
D Manani,2.0,
S Sola,4.0,
C Soper,13.0,
B Wheeler,6.0,
T Curran,15.0,
J Dunn,4.0,
J Jojo,7.0,
T Kane,7.0,
M Qasim,3.0,
M Hub,4.0,
A Shakoor,6.0,
M Biddappa,4.0,
P Cummins,25.0,
S Curran,5.0,
C Lange,8.0,
L Hermida,5.0,
J Malan,2.0,
V Morea,5.0,
N Ali,2.0,
S Ahmed,17.0,
D Anefie,4.0,
N Ahmed,24.0,
S Rakshit,7.0,
S Zulfiqar,6.0,
J Sumerauer,8.0,
W Viraliliu,10.0,
P Handscomb,2.0,
F Klaassen,21.0,
C Mpofu,30.0,
K Nestor,4.0,
I Pandey,4.0,
S Singh,7.0,
A Westphal,5.0,
A Wahid,5.0,
K Bagabena,4.0,
L Harrington-Myers,4.0,
K Ahmed,5.0,
G O'Brien,11.0,
S Khan,6.0,
K Silva,2.0,
P Chameera,19.0,
P Chandran,3.0,
V Ganesan,4.0,
J Singh,4.0,
A Mehmi,3.0,
R Mukasa,4.0,
V Padhaal,5.0,
D Sheeli,3.0,
A Stokes,7.0,
T Ali,5.0,
Z Zulkifle,4.0,
D Cato,3.0,
L Tissier,9.0,
M Mehmood,4.0,
S Obed,12.0,
S Rossi,5.0,
J Salazar,2.0,
T Ahmed,19.0,
D Tiripano,10.0,
C Zavoiu,3.0,
A Malik,31.0,
K Ahuja,8.0,
E Miles,14.0,
A Nehra,27.0,
C Perchard,15.0,
R Pillai,6.0,
S Ashraf,8.0,
A Wardak,9.0,
T Allen,5.0,
G Bakiweyem,3.0,
T Barker,4.0,
D Christian,16.0,
R Dorji,1.0,
H Fennell,5.0,
S Pathirana,5.0,
S Zadran,34.0,
S Qureshi,5.0,
W Ali,2.0,
T Bruyn,2.0,
R Goodwin,4.0,
I Dawlatzai,14.0,
G Kansonkho,6.0,
L Oluoch,10.0,
E Otieno,18.0,
T Saha,4.0,
W Sundar,18.0,
C Wright,6.0,
P Agnihotri,2.0,
A Ahmed,3.0,
T Jamtsho,2.0,
J Kiani,4.0,
W Masakadza,12.0,
G Murali,3.0,
S Okpe,8.0,
C Pengkumta,4.0,
S Badar,3.0,
S Singh,8.0,
A Srivastav,4.0,
T Dar,4.0,
V Kumar,3.0,
A Hanif,4.0,
A Farhath,2.0,
M Bacarese,3.0,
O Bascome,3.0,
B Tahir,4.0,
B Ivanov,3.0,
J Singh,4.0,
M McClenaghan,29.0,
B Regmi,18.0,
D Brangman,5.0,
C Floyd,2.0,
H Ahmadzai,5.0,
H Singh,3.0,
I Anwar,4.0,
R Inampud,3.0,
B Kumar,43.0,
S Lamichhane,18.0,
N Master,2.0,
V Sachdev,2.0,
S Islam,17.0,
S Sohal,3.0,
A Zampa,27.0,
D Ankrah,4.0,
S Aquilina,4.0,
Z Arinaitwe,3.0,
T Boult,27.0,
P Silva,2.0,
M Morkel,44.0,
A Muslar,3.0,
A Akbarjan,5.0,
B Chari,3.0,
L Gregory,5.0,
I Imam-ul-Haq,2.0,
K NG,4.0,
L Madushanka,2.0,
C Mahoney,3.0,
S Murari,3.0,
S Tiai,4.0,
E Haq,5.0,
A Haqqiem,4.0,
K Flowers,3.0,
Z Groenewald,10.0,
K Yadav,19.0,
N Pokana,19.0,
J Sanjaya,8.0,
J Scamans,2.0,
A Uniyal,3.0,
C Waiswa,4.0,
A Mohammad,3.0,
B Ahmed,1.0,
C Dala,9.0,
I Hassan,11.0,
I Haider,2.0,
I Tahir,38.0,
I Mir,4.0,
J Singh,5.0,
J Sheikh,5.0,
M Ahsan,6.0,
S Netravalkar,8.0,
H Nicholls,5.0,
A Paraam,3.0,
A Phangiso,16.0,
S Mehmood,3.0,
K Williams,24.0,
N Yordanov,2.0,
V Baskaran,12.0,
B Khan,32.0,
L Collado,4.0,
B Hendricks,11.0,
J Little,11.0,
A Markram,2.0,
N Islam,13.0,
D Nikolov,3.0,
P Sandakan,14.0,
S Snater,13.0,
H France,6.0,
D Bishoo,7.0,
T Blundell,3.0,
L Dawson,6.0,
R Emrit,4.0,
D Gim,6.0,
S Kizilkaya,4.0,
J Mensah,2.0,
K Pierre,8.0,
R Hossain,27.0,
G Russ,3.0,
S Rutherford,3.0,
S Jaleel,4.0,
J Singleton,3.0,
T Singye,2.0,
O Willis,3.0,
Z Tashnam,3.0,
I Aboagye,4.0,
A Ahmadhel,3.0,
P Arrighi,5.0,
J Barker,4.0,
K Bishnoi,3.0,
M Chauhan,2.0,
U Dorji,2.0,
L Goncalves,3.0,
E Hutchinson,2.0,
L Livingstone,2.0,
K Modise,3.0,
N Shanto,2.0,
F Nsubuga,3.0,
J Reva,9.0,
D Steyn,44.0,
A Islam,4.0,
T Chatara,21.0,
K Christie,11.0,
G Cloete,2.0,
S Cottrell,22.0,
N Dutta,11.0,
K Ebanks,5.0,
J Hill,4.0,
A Kose,4.0,
N Rana,8.0,
R Patel,2.0,
U Master,6.0,
J Vandersay,10.0,
V Singh,1.0,
A Hasan,5.0,
C Akachukwu,8.0,
A Islam,4.0,
A Iqbal,5.0,
G Dutta,7.0,
I Zadran,3.0,
P Patel,2.0,
T Langa,1.0,
J Moses,3.0,
N Nankov,3.0,
S Pillai,3.0,
C Prasad,3.0,
R Hasan,8.0,
R Singh,2.0,
S Muhammad,2.0,
S Varathappan,3.0,
T Whiteman,4.0,
A Sheikh,2.0,
M Cope,2.0,
L Ali,2.0,
J Mees,3.0,
M (3),16.0,
M Hamayun,4.0,
H Overdijk,4.0,
J Richardson,9.0,
O Tonuu,4.0,
W Abbas,2.0,
A Ahmed,3.0,
A Mohammad,9.0,
F Niazai,1.0,
C Gannon,4.0,
R Gaznavi,2.0,
H Helva,4.0,
D Mejia,3.0,
A Patel,2.0,
M Patel,3.0,
R Kapur,4.0,
M Starc,28.0,
A Ivan,1.0,
A Mustafizur,2.0,
A Kamal,4.0,
A Bulow,2.0,
J Campbell,2.0,
A Djorovic,2.0,
S Goustis,3.0,
O McCoy,2.0,
M Hasan,1.0,
W Malinda,3.0,
B McCarthy,6.0,
J Reb,2.0,
S Arshad,2.0,
S Kumar,2.0,
P Taylor,7.0,
H Thaker,1.0,
T Veillard,4.0,
A (2),1.0,
R Avery,4.0,
N Pradeep,14.0,
S Hallett,4.0,
M Henry,6.0,
G Kaltongga,3.0,
Z Matsinhe,7.0,
M Ghazanfar,5.0,
S Nerandzic,2.0,
S Perera,2.0,
S Rance,8.0,
A Rangaswamy,4.0,
D Ravu,17.0,
G Reynold,3.0,
Z Khan,18.0,
Z Hasan,1.0,
A Rashid,1.0,
A Mollik,2.0,
P Arora,2.0,
H Banner,3.0,
B Duckett,1.0,
H Hiri,5.0,
I Hussain,15.0,
N Janes,2.0,
K Kaleemullah,6.0,
J Kundi,6.0,
M Asjed,2.0,
M Wafiq,4.0,
V Poubel,3.0,
A Poulose,3.0,
K Richardson,15.0,
S Hasan,2.0,
M Sarwar,5.0,
B Stanlake,19.0,
U Ali,5.0,
T jnr,2.0,
S Ahmed,5.0,
A Saad,2.0,
S Appu,4.0,
B Banerjee,6.0,
J Bumrah,42.0,
H Dandapani,5.0,
J Freyone,4.0,
H Dar,1.0,
N Khanna,2.0,
K Shah,1.0,
K Singh,4.0,
N Liyanage,6.0,
M Mooketsi,7.0,
W Peatfield,8.0,
C Rajitha,10.0,
S Singh,1.0,
O Thomas,10.0,
R Vishwanath,2.0,
Y Idrees,1.0,
A Hossain,28.0,
A Mohammad,3.0,
P Boissevain,4.0,
P Chase,12.0,
D Ahir,2.0,
P Danci,2.0,
D Delany,8.0,
K Malla,3.0,
R Lakmal,11.0,
S Mahmood,3.0,
N Naveen-ul-Haq,4.0,
Q Ahmed,10.0,
L Rodrigues,4.0,
S Khan,1.0,
T Ahmed,5.0,
U Sunil,2.0,
T Braat,3.0,
D Burgess,4.0,
S Dima,4.0,
L Evile,4.0,
R Hekure,8.0,
J Ahmadi,3.0,
D Maisuria,6.0,
I Master,2.0,
J Mulder,8.0,
L Ngidi,7.0,
O Hayat,2.0,
S Ali,5.0,
O Smith,2.0,
H Tyler,2.0,
C Young,26.0,
S Abbott,4.0,
A Rahman,9.0,
A Ahmed,3.0,
M Baig,7.0,
A Bhagwat,4.0,
A Bohara,17.0,
T Caruana,2.0,
H Shahzad,2.0,
I Ali,4.0,
J Siddique,8.0,
I Katzarski,3.0,
T Kimber,3.0,
A Krishna,4.0,
A McCarthy,1.0,
M Hasnain,4.0,
A Morris,6.0,
G Munasinghe,8.0,
A Nanda,3.0,
G Ntambalika,3.0,
P Rasool,1.0,
N Patel,4.0,
D Paterson,8.0,
K Rabada,21.0,
B Scholtz,14.0,
M Spry,4.0,
C Vorster,1.0,
T Astle,3.0,
B Singh,8.0,
S Bhudia,4.0,
Y Chahal,36.0,
A Dursak,4.0,
C Emmott,2.0,
I Rizan,5.0,
H Ivanov,3.0,
M Koc,2.0,
C Kumara,3.0,
M Khurram,5.0,
M Rafique,2.0,
P Singh,10.0,
C Suryawanshi,3.0,
K Suttisan,2.0,
T Ulutuna,3.0,
S Vashisht,3.0,
A Jayed,3.0,
G Agius,2.0,
A Hayat,4.0,
A Mahboob,11.0,
P Bhart,5.0,
S Byrne,2.0,
D Puente,2.0,
S Silva,3.0,
F Ali,3.0,
W Gavera,6.0,
I Nashath,3.0,
J Maroofkhail,2.0,
M Data,2.0,
R Olipa,2.0,
L Rajbanshi,12.0,
L Simango,3.0,
R Ulutuna,4.0,
S Waththage,5.0,
A Mahmood,1.0,
N Advani,1.0,
A Alam,12.0,
A Quadir,2.0,
A Hayat,6.0,
P Buccimazza,4.0,
H Dajc,2.0,
M Fernando,1.0,
C Fry,3.0,
B Glover,19.0,
J Hamoud,6.0,
I Ahmed,6.0,
S Kansoy,4.0,
I Lisboa,1.0,
M Yar,7.0,
S Nadigotla,2.0,
W Nalisa,9.0,
A Ndlovu,3.0,
N Kamawi,1.0,
S Saeed,5.0,
S Ali,2.0,
S Hossain,4.0,
S Vijayakumar,9.0,
W Khan,4.0,
U Yadav,7.0,
Z Abbasi,1.0,
J Allen,2.0,
H Alta,4.0,
B Angeltti,3.0,
A Malik,11.0,
S Bhari,6.0,
B Dugic,2.0,
G Eranga,9.0,
A Evans,27.0,
L Ferguson,8.0,
P Florin,4.0,
M Garratt,4.0,
A Gavde,1.0,
G Hyde,3.0,
B Khumalo,3.0,
V Kingma,4.0,
B Muzarabani,6.0,
R Neale,3.0,
E Ringera,1.0,
O Arthur,3.0,
M Sarenac,2.0,
S Shirzad,4.0,
K Silva,3.0,
A Stephen,2.0,
T Turan,4.0,
W Ali,1.0,
Z Hassan,3.0,
Z Abbas,1.0,
A Shakoor,2.0,
C Akyuz,2.0,
M Aponso,3.0,
S Arachchige,4.0,
A Said,3.0,
S Atai,2.0,
M Bhanuka,2.0,
I Civric,1.0,
S Dalton,3.0,
E Nawaz,5.0,
M Faheem,4.0,
G Galanis,2.0,
G Yusuf,1.0,
L Gharasim,2.0,
M Goonetilleke,1.0,
P Kerai,6.0,
C Liyanage,2.0,
O Marshall,3.0,
M Meade,1.0,
M Nazir,1.0,
T Mills,5.0,
M Shaheen,1.0,
N Ahmed,7.0,
L Nussbaumer,1.0,
A Orfila,1.0,
T Phaswana,1.0,
R Rivas,3.0,
I Sawmy,2.0,
T Shamsi,16.0,
B Shikongo,11.0,
B Simango,2.0,
M Simmons,2.0,
M Simpson-Parker,3.0,
S Singh,1.0,
L Sipamla,5.0,
S Soosiyakumar,1.0,
E Soto,1.0,
L Sreekumar,1.0,
Z Rehman,1.0,
M Agarwal,34.0,
R Dhawan,34.0,
B Rajapaksa,46.0,
B Howell,50.0,
P Mankad,55.0,
J Sharma,36.0,
R Tripathi,35.0,
A Sharma,43.0,
A Samad,38.0,
V Vinod,43.0,
P Garg,57.0,
R Samarth,37.0,
S Samson,45.0,
D Padikkal,48.0,
Y Jaiswal,57.0,
R Parag,47.0,
K Nair,39.0,
R Dussen,56.0,
D Jurel,38.0,
S Garhwal,35.0,
D Karthik,50.0,
A Rawat,34.0,
M Lomror,40.0,
S Prabhudessai,42.0,
L Sisodia,37.0,
I Kishan,56.0,
S Yadav,56.0,
D Brevis,56.0,
T Varma,41.0,
S Yadav,34.0,
A Singh,46.0,
A Juyal,37.0,
R Buddhi,48.0,
A Rayudu,48.0,
R Gaikwad,47.0,
R Uthappa,45.0,
D Conway,54.0,
N Jagadeesan,34.0,
S Senapati,37.0,
B Varma,40.0,
H Nishaanth,48.0,
V Iyer,50.0,
A Rahane,46.0,
S Jackson,35.0,
A Tomar,50.0,
B Indrajith,51.0,
P Shaw,53.0,
S Bharat,39.0,
Y Dhull,45.0,
A Hebbar,43.0,
D Hooda,47.0,
K Mayers,36.0,
A Badoni,43.0,
M Vohra,45.0,
S Gill,45.0,
A Manohar,47.0,
M Wade,40.0,
W Saha,40.0,
S Sudharsan,36.0,
N Ojha,38.0,
